Comment ID,comment,sentiment
1,I neither liked nor disliked it.,Neutral
2,Completely useless.,Negative
3,"Fine, I guess.",Neutral
4,Waste of time.,Negative
5,Would not recommend.,Negative
6,Great explanation!,Positive
7,Brilliant work!,Positive
8,Very poor explanation.,Negative
9,Great explanation!,Positive
10,Not helpful at all.,Negative
11,It's okay.,Neutral
12,Really bad.,Negative
13,Worst experience ever.,Negative
14,Excellent quality.,Positive
15,Highly recommended!,Positive
16,Not helpful at all.,Negative
17,I absolutely loved this!,Positive
18,It’s alright.,Neutral
19,Not helpful at all.,Negative
20,I'm disappointed.,Negative
21,This was amazing!,Positive
22,Nothing special.,Neutral
23,Really appreciate this.,Positive
24,Excellent quality.,Positive
25,Waste of time.,Negative
26,"Very helpful, thanks!",Positive
27,Really bad.,Negative
28,Great explanation!,Positive
29,"Could be better, could be worse.",Neutral
30,Nothing special.,Neutral
31,"Very helpful, thanks!",Positive
32,Excellent quality.,Positive
33,Really appreciate this.,Positive
34,Superb content!,Positive
35,Highly recommended!,Positive
36,I'm disappointed.,Negative
37,"Very helpful, thanks!",Positive
38,I'm disappointed.,Negative
39,Highly recommended!,Positive
40,Very poor explanation.,Negative
41,Brilliant work!,Positive
42,Just average.,Neutral
43,Highly recommended!,Positive
44,Nothing special.,Neutral
45,I absolutely loved this!,Positive
46,Would not recommend.,Negative
47,Highly recommended!,Positive
48,Highly recommended!,Positive
49,Great explanation!,Positive
50,"Could be better, could be worse.",Neutral
51,It’s alright.,Neutral
52,"Very helpful, thanks!",Positive
53,I neither liked nor disliked it.,Neutral
54,Just average.,Neutral
55,I absolutely loved this!,Positive
56,Completely useless.,Negative
57,Waste of time.,Negative
58,It's okay.,Neutral
59,It’s decent.,Neutral
60,Not helpful at all.,Negative
61,Waste of time.,Negative
62,This made my day better.,Positive
63,This was amazing!,Positive
64,I'm disappointed.,Negative
65,Excellent quality.,Positive
66,Brilliant work!,Positive
67,Completely useless.,Negative
68,It’s alright.,Neutral
69,I absolutely loved this!,Positive
70,Very poor explanation.,Negative
